outcome,model_probability,model_probability_%,fair_odd,market_odd,market_implied_probability_%,expected_value_%,has_value
home_win,0.6703532903956227,67.03532903956227,1.4917507146266553,1.57,63.69426751592356,5.24546659211278,True
draw,0.205302383298225,20.5302383298225,4.870864058832607,4.5,22.22222222222222,-7.613927515798746,False
away_win,0.12434432630615223,12.434432630615223,8.042184389964584,4.5,22.22222222222222,-44.0450531622315,False
